Unnamed: 0,Tag,Sentences,Correct,Extracted,PMID,Years,CorrespAuthors,Publishers
0,train,"In macrophages, ORF8b robustly activates the NLRP3 inflammasome by providing a potent signal 2 required for activation.","[('ORF8b', 'activates', 'NLRP3 inflammasome ')]","[('ORF8b', 'activates', 'NLRP3')]",31231549,2019,John H Kehrl,Cell death discov
1,test,"Here, we identify several mechanisms by which a SARS-CoV open reading frame (ORF) activates intracellular stress pathways and targets the innate immune response.","[('SARS-CoV open reading frame', 'activates', 'stress pathways')]","[('SARS-CoV', 'activates', 'stress')]",31231549,2019,John H Kehrl,Cell death discov
2,train,"Overall, our findings point to a GCN2- and PERK-independent mechanism(s) by which methionine restriction activates the integrated stress response in TNBC cells.","[('methionine restriction', 'activates', 'stress response')]","[('restriction', 'activates', 'stress')]",31497357,2019,Vincent L Cryns,Am J Cancer Res.
3,train,The resting pattern is readily changed by voluntary motor activity which gives a rolandic-postrolandic activity peak and by sensory stimulation which activates rolandic and prerolandic structures especially.,"[('stimulation', 'activates', 'structures')]","[('', '', '')]",773518,1976,D H Ingvar,Brain Res.
4,train,"In contrast, exposure to constant light, which perturbed the interval of inactivity (sleep) and led to the complete abolishment of activity/inactivity cycles, activated robustly proinflammatory state in the colon selectively via Stat3-dependent pathway.","[('exposure', 'activated', 'state')]","[('', '', '')]",29039977,2017,Alena Sumova,Chronobiol Int.
5,train,We previously found that FLT3-ITD activates the mTORC1/S6K/4EBP1 pathway cooperatively through the STAT5/PIM and PI3K/AKT pathways to promote proliferation and survival by enhancing the eIF4F complex formation required for cap-dependent translation.,"[('FLT3-ITD', 'activates', 'mTORC1/S6K/4EBP1 pathway')]","[('FLT3-ITD', 'activates', 'mTORC1/S6K/4EBP1')]",31756944,2019,Osamu Miura,Cancers(Basel)
6,test,"Here, we show that, in contrast to BCR/ABL causing Ph-positive leukemias, FLT3-ITD distinctively activates the serine/threonine kinases RSK1/2 through activation of the MEK/ERK pathway and PDK1 to transduce signals required for FLT3-ITD-dependent, but not BCR/ABL-dependent, proliferation and survival of various cells, including MV4-11.","[('FLT3-ITD', 'activates', 'serine/threonine kinases RSK1/2')]","[('', '', '')]",31756944,2019,Osamu Miura,Cancers(Basel)
7,train,"Our results show that haloperidol, a DA D2-class receptor antagonist, activates c-Fos predominantly in enkephalin-positive striatal neurons, which project to the globus pallidus and are thought to mediate motor inhibition.","[('haloperidol, a DA D2-class receptor antagonist,', 'activates', 'c-Fos ')]","[('haloperidol', 'activates', 'c-Fos')]",12048106,2002,Rosario Moratalla,J Chem Neuroanat.
8,train,BMP2 also activates Runx2/Cbfa1 which is an osteoblast-specific transcription factor.,"[('BMP2', 'activates', 'Runx2/Cbfa1')]","[('BMP2', 'activates', 'Runx2/Cbfa1')]",29258711,2018,Masaharu Ishihara,J Cardiol.
9,train,"When polysulfide reacts with the R domain of FisR through the three conserved cysteine residues (C53, C64 and C71), FisR activates the expression of the operon.","[('FisR', 'activates', 'expression')]","[('', '', '')]",28612361,2017,Huaiwei Liu,Mol Microbiol.
10,train,Here it is reported that the regulator responds to the presence of sulfide and activates the sulfide-oxidizing genes.,"[('regulator', 'activates', 'genes')]","[('regulator', 'activates', 'genes')]",28612361,2017,Huaiwei Liu,Mol Microbiol.
11,test,"MCN1 activates this rhythm by slow peptidergic (CabTRP Ia) and fast GABAergic excitation of the reciprocally inhibitory central pattern generator neurons LG (protraction) and Int1 (retraction), respectively.","[('MCN1', 'activates', 'rhythm')]","[('', '', '')]",19793994,2009,Michael P Nusbaum,J Neurosci.
12,train,"Extracellular glutamine activates transcription factor signal transducer and activator of transcription 3 (STAT3), which is necessary and sufficient to mediate the proliferative effects of glutamine on glycolytic and oxidative cancer cells.","[('glutamine', 'activates', 'transcription factor signal transducer and activator')]","[('glutamine', 'activates', 'factor and activator')]",27748760,2017,Pierre Sonveaux,Oncogene.
13,train,We found that IVM activates GIRK2 more efficiently than GIRK4.,"[('IVM', 'activates', 'GIRK2')]","[('IVM', 'activates', 'GIRK2')]",28715108,2017,Yoshihiro Kubo,J Physiol.
14,train,Increased level of glyceraldehyde-3-P activates two major pro-oxidative pathways in diabetes.,"[('level', 'activates', 'pathway')]","[('', '', '')]",30245465,2018,Osasenaga Macdonald Ighodaro,Biomed Pharmacother.
15,train,"Importantly, we discovered that obinutuzumab also activates FcγRI (CD64) significantly more than rituximab and ofatumumab in response to chronic lymphocytic leukemia (CLL) cells obtained from patients.","[('obinutuzumab ', 'activates', 'FcγRI')]","[('obinutuzumab', 'activates', 'FcγRI')]",29872553,2018,Ofer Mandelboim,Oncoimmunology.
16,test,Here we establish a reporter assay to assess whether a particular antibody activates a certain Fc receptor.,"[('antibody', 'activates', 'Fc receptor')]","[('reporter', 'activates', 'Fc')]",29872553,2018,Ofer Mandelboim,Oncoimmunology.
17,train,"However, whether curdlan also activates DCs through other receptors remains unknown.  ","[('curdlan', 'activates', 'DCs')]","[('', '', '')]",27449326,2016,Sang-Bae Han,Int Immunopharmacol.
18,train,The modulatory neuron modulatory commissural neuron 1 (MCN1) activates and modulates two networks that generate rhythms via different cellular mechanisms and at distinct frequencies.,"[('neruon 1', 'activates', 'two networks')]","[('modulatory', 'activates', 'networks')]",27030739,2016,Dawn M Blitz,J Neurophysiol.
19,train,These data demonstrated that TRIM28 activates autophagy and increases cell proliferation in glioma.,"[('TRIM28', 'activates', 'autophagy')]","[('', '', '')]",30655676,2019,Yugang Jiang,Onco Targets Ther.
20,train,"Long noncoding RNA (lncRNA) PTCSC3 (hereafter PTCSC3 is used to represent lncRNA PTCSC3) inhibits glioma and thyroid cancer, indicating its potential tumor suppression function in other types of cancers.","[('PTCSC3', 'inhibits', 'glioma and thyroid cancer')]","[('RNA', 'inhibits', 'glioma and cancer')]",31026090,2019,Xiaobin Sheng,J Cell Biochem.
21,test,"SFN inhibits mTOR in a concentration- and time-dependent manner, and this inhibition occurs in the presence or in the absence of NRF2.","[('SFN', 'inhibits', 'mTOR')]","[('SFN', 'inhibits', 'mTOR')]",31409554,2019,Albena T Dinkova-Kostova,Phytomedicine.
22,train,LncRNA PTCSC3 inhibits the proliferation and migration of glioma cells and suppresses Wnt/β-catenin signaling pathway by targeting LRP6.,"[('LncRNA PTCSC3', 'inhibits', 'proliferation and migration')]","[('LncRNA', 'inhibits', 'proliferation and migration')]",28187755,2017,WeiWei Zhan,BMC Neurol.
23,train,"Furthermore, AK126698 could inhibit the activation of Wnt/β-catenin pathway, which was demonstrated by measuring the expression levels of Axin1, β-catenin, c-myc, cyclin D1, and E-cadherin.","[('AK126698', 'inhibit', 'activation')]","[('AK126698', 'inhibit', 'activation')]",27445486,2016,Yang Wang,Onco Targets Ther.
24,train,Carboxylesterase 1 (CES1) is potentially inhibited by THC and CBD.,"[('Carboxylesterase 1', 'is inhibited by', 'THC and CBD')]","[('Carboxylesterase', 'is inhibited by', 'THC and CBD')]",31433338,2019,John S Markowitz,J Clin Psychoparmacol.
25,train,"It was previously shown that clofibric acid, a blood lipid-lowering drug, binds T1R2-T1R3 and inhibits its activity in vitro.","[('acid', 'binds', ' T1R2-T1R3'), ('acid', 'inhibits', 'activity')]","[('acid', 'inhibits', 'activity'), ('acid', 'binds', 'T1R2-T1R3')]",27742692,2017,Paul A S Breslin,Chem Sense
26,test,"Binding of 125I-labeled GMP-140 to neutrophils and HL60 cells and the rosetting of neutrophils and HL60 cells by thrombin-activated platelets were inhibited by EDTA, excess unlabeled fluid-phase GMP-140, Fab fragments of an affinity-purified rabbit anti-GMP-140 antibody, and by the murine anti-GMP-140 monoclonal antibody, AK 4.","[('Binding', 'were inhibited by', 'EDTA')]","[('Binding', 'were inhibited by', 'EDTA')]",1706335,1991,M C Berndt,J Biol Chem.
27,train,"Pretreatment with the synthetic auxin 1-NAA reduces this BFA-induced PIN internalization, suggesting that auxinic compounds inhibit the endocytosis of PIN proteins.","[('compounds', 'inhibit', 'endocytosis')]","[('compounds', 'inhibit', 'endocytosis')]",31143194,2019,Klaus Palme,Front Plant Sci.
28,train,"However, gonadal function was effectively inhibited by both high and low dose OCs, as demonstrated by equally low levels of E2, E1, P and 17-P.","[('function', 'was inhibited by', 'OCs')]","[('function', 'was inhibited by', 'dose')]",6430638,1984,J Duvivier,Contraception.
29,train,Memantine inhibits NMDA-subtype of glutamate receptors (NMDARs) and induces autophagic death of glioma cells in vitro and blocks glioma growth in vivo.,"[('Memantine', 'inhibits', 'NMDA-subtype'), ('Memantine', 'induces', 'death')]","[('Memantine', 'inhibits', 'NMDA-subtype'), ('Memantine', 'induces', 'death')]",29030124,2018,İlhan Elmaci,Nitric Oxide.
30,train,"β-Carotene reduces ROS levels, inhibits oxidant-mediated activation of inflammatory signaling and exhibits anticancer properties.","[('β-Carotene', 'inhibits', 'activation')]","[('β-Carotene', 'inhibits', 'activation')]",31624725,2019,Hyeyoung Kim,J Cancer Prev.
31,test,We found that eupatilin significantly inhibits the viability and proliferation of glioma cells by arresting the cell cycle at the G1/S phase.,"[('eupatilin', 'inhibits', 'viability and proliferation')]","[('eupatilin', 'inhibits', 'viability and proliferation')]",31213900,2019,Ruxiang Xu,Cancer Manag Res.
32,train,"CC-115 inhibits colony formation of ATM-deficient cells more potently than ATM-proficient cells, indicating that inhibition of DNA-PK is synthetically lethal with the loss of functional ATM.","[('CC-115', 'inhibits', 'colony formation')]","[('CC-115', 'inhibits', 'colony')]",29088817,2017,Shuichan Xu,Oncotarget.
33,train,"We found that MB inhibits heparin-induced tau aggregation in vitro, as measured by thioflavin T fluorescence.","[('MB', 'inhibits', 'tau aggregation')]","[('MB', 'inhibits', 'aggregation')]",30909223,2019,Akihiko Takashima,J Alzhheimers Dis.
34,train,"In local acupoints, the increased discharges of WDR neurons evoked by CRD were significantly inhibited by EA at 0.5-8 mA.","[('discharges', 'were inhibited by', 'EA')]","[('', '', '')]",30655692,2019,Bing Zhu,J Pain Res.
35,train,"CFIm25 knockdown promotes cell invasion and migration in vitro, while overexpression of CFIm25 inhibits cell invasion and migration in vitro and inhibits intrahepatic and lung metastasis in vivo.","[('overexpression', 'inhibits', 'cell invasion and migration')]","[('', '', '')]",29545935,2018,Jiahzi Liao,Oncotarget.
36,test,"Moreover, HRPII competitively inhibits the protective effect of AT by a concentration-dependent manner.","[('HRPII', 'inhibits', 'effect')]","[('HRPII', 'inhibits', 'effect')]",31858717,2019,Alireza R Rezaie,J Thromb Haemost
37,train,"Similarly, AT inhibits the pro-inflammatory activity of HRPII by a concentration-dependent manner.","[('AT', 'inhibits', 'activity')]","[('AT', 'inhibits', 'activity')]",31858717,2019,Alireza R Rezaie,J Thromb Haemost
38,train,The transmission of visceral nociception can be inhibited by electroacupuncture (EA) at the spinal level.,"[('transmission', 'can be inhibited by', 'electroacupuncture')]","[('transmission', 'be inhibited by', 'electroacupuncture')]",30655692,2019,Bing Zhu,J Pain Res.
39,train,"Although putrescine uptake was inhibited by putrescine and cadaverine, it was not inhibited by equal concentrations of spermine and spermidine.","[('putrescine uptake', 'was inhibited by', 'putrescine and cadaverine')]","[('uptake', 'was inhibited by', 'putrescine and cadaverine')]",2719112,1989,L R Johnson,Am J Physiol.
40,train,ATP bivalently binds the disordered domain of FUS containing the RG/RGG sequence motif and thereby affects FUS liquid-liquid phase separation.,"[('ATP', 'binds', 'domain')]","[('ATP', 'binds', 'domain')]",31240261,2019,Jianxing Song,Commun Biol.
41,test,"Biolayer interferometry assay revealed that recombinant maspin binds cardiolipin with an apparent Kd,of ∼15.8 μM and competes with cytochrome c (apparent Kd of ∼1.31 μM) for binding to cardiolipin-enriched membranes.","[('maspin', 'binds', 'cardiolipin')]","[('', '', '')]",30786218,2019,Ming Zhang,FASEB J.
42,train,"Together, these results show that morphine strongly binds CK-B and inhibits its activity in vitro and in vivo.","[('morphine', 'binds', 'CK-B'), ('morphine', 'inhibits', 'activity')]","[('results', 'inhibits', 'activity'), ('morphine', 'binds', 'CK-B')]",30559651,2019,Yannick Goumon,Front Cell Neurosci.
43,train,"Prepared in only three synthetic steps, a non-multimacrocyclic heteroditopic receptor binds potassium salts of halides and carboxylates with unusually high cooperativity, suggesting salt binding as associated ion-pairs.","[('receptor', 'binds', 'potassium salts and carboxylates')]","[('heteroditopic', 'binds', 'salts')]",29873353,2018,Piotr Piatek,Chem Commun (Camb).
44,train,"In this study, we report that IQGAP1 binds ERα and ERβ.","[('IQGAP1', 'binds', 'ERα and ERβ')]","[('IQGAP1', 'binds', 'ERα and ERβ')]",24550401,2014,David B Sacks,J Biol Chem.
45,train,HU binds single-stranded DNA (ssDNA) in a binding mode that is reminiscent but different from earlier reported specific HU interactions with double-helical DNA lesions.,"[('HU', 'binds', 'DNA')]","[('HU', 'binds', 'DNA')]",18096614,2008,Josette Rouviere-Yaniv,Nuclear Acids Res.
46,test,We observe that SMAR1 binds and targets distinctly different genes based on the availability of p53.,"[('SMAR1', 'binds', 'genes')]","[('', '', '')]",27671416,2016,Samit Chattopadhyay,Sci Rep.
47,train,We successfully identified a peptide motif that binds zirconia.,"[('peptide motif', 'binds', 'zirconia')]","[('', '', '')]",22123020,2011,Takashi Inoue,Dent Mater J.
48,train,"We show that the CC1 antibody binds Quaking 7, an RNA-binding protein that is highly up-regulated in myelinating oligodendrocytes in the central nervous system.","[('CC1 antibody', 'binds', 'Quaking 7')]","[('', '', '')]",27454326,2016,Timothy E Kennedy,J Neurochem.
49,train,"Given these results, it is unlikely that 14-3-3β acts as a cargo adaptor for Myo1c-powered transport; rather, we propose that 14-3-3β binds Myo1c in the presence of calcium and stabilizes the calmodulin-dissociated, nonmotile myosin.","[('14-3-3β', 'binds', 'Myo1c')]","[('', '', '')]",31811090,2020,E Michael Ostap,J Biol Chem.
50,train,"However, SMAD3 binds RNA with large internal loops or bulges with high apparent affinity.","[('SMAD3', 'binds', 'RNA')]","[('SMAD3', 'binds', 'RNA')]",29036649,2017,Anna M Pyle,Nucleic Acids Res.
51,test,"These responses include the overall fluorescent changes that occur when plasminogen binds the ligand, the changes shown by the individual domains when they bind the ligand, and the changes in structure shown by the holoprotein when it binds 6-AH.","[('plasminogen', 'binds', 'ligand')]","[('fluorescent', 'binds', 'ligand')]",10962086,2000,J A Kornblatt,Biochim Biophys Acta.
52,train,"Like glycosyltransferases, H3 binds UDP-glucose, as shown by saturation transfer difference (STD) nuclear magnetic resonance (NMR) spectroscopy, and this binding requires Mg(2+) Mutation of the glycosyltransferase-like metal ion binding motif in H3 greatly diminished its binding to UDP-glucose.","[('H3', 'binds', 'UDP-glucose')]","[('H3', 'binds', 'UDP-glucose')]",26937025,2016,David N Garboczi,J Virol.
53,train,"In vitro, when fluoride is incorporated into the mineral, more protein binds to the forming mineral, and protein removal by proteinases is delayed.","[('protein', 'binds', 'mineral')]","[('protein', 'binds to', 'mineral')]",21701193,2011,Wu Li,Monogr Oral Sci.
54,train,Here we report the novel observation that AnxA5 binds to Gram-negative bacteria via the lipid A domain of lipopolysaccharide (LPS).,"[('Anxa5', 'binds to', 'bacteria')]","[('AnxA5', 'binds to', 'bacteria')]",22415004,2012,John C McKitrick,mBio.
55,train,"Similarly, EO6 binds apoptotic cells but not viable cells.","[('EO6', 'binds', 'cells')]","[('EO6', 'binds', 'cells')]",12244213,2002,Joshep L Witztum,Proc Natl Acad Sci U S A.
56,test,These data suggest that CRP binds OxLDL and apoptotic cells by recognition of a PC moiety that becomes accessible as a result of oxidation of PtC molecule.,"[('CRP', 'binds', 'OxLDL and cells')]","[('CRP', 'binds', 'OxLDL and cells')]",12244213,2002,Joshep L Witztum,Proc Natl Acad Sci U S A.
57,train,"Mercury binds to the selenium site on these proteins and permanently inhibits their function, disrupting the intracellular redox environment.","[('Mecury', 'binds to', 'selenium site')]","[('Mercury', 'inhibits', 'function'), ('Mercury', 'binds to', 'selenium')]",29124976,2018,Henry A Spiller,Clin Toxicol (Phila).
58,train,TREM2 binds various polyanionic molecules but no specific protein ligands have been identified.,"[('TREM2', 'binds', 'molecules')]","[('', '', '')]",26374897,2015,Michale Farzan,J Biol Chem.
59,train,HP1 binds nucleosome core particles and naked DNA.,"[('HP1', 'binds', 'nucleosome core particles and naked DNA')]","[('HP1', 'binds', 'core and DNA')]",10882726,2000,J C Eissenberg,J Biol Chem.
60,train,"Insulin also induces FAK activation, an increase of NFκB DNA binding activity, migration, and invasion of mammary non-tumorigenic epithelial cells MCF10A.","[('Insulin', 'induces', 'FAK activation, increase, migration, and invasion')]","[('Insulin', 'induces', 'FAK')]",29236310,2018,Eduardo Perez Salazar,J Cell Biochem.
61,test,Injection of irisin in mice induces significant hypertrophy and enhances grip strength of uninjured muscle.,"[('Injection', 'induces', 'hypertrophy')]","[('Injection', 'induces', 'hypertrophy')]",29062100,2017,Ravi Kambadur,Nat Commun.
62,train,"This study shows for the first time that both antigen-independent Tregs and antigen-specific Tregs can be induced by siRNA, and that therapy with siRNA-induced Tregs inhibits allergic responses and symptoms.","[('antigen-independent Tregs and antigen-specific Tregs', 'be induced by', 'siRNA')]","[('', '', '')]",30525745,2019,Yoshihisa Nakamura,Asian Pal J Allergy Immunol.
63,train,Chronic hyperammonemia induces neuroinflammation which mediates cognitive impairment.,"[('hyperammonia', 'induces', 'neuroinflammation')]","[('Chronic', 'induces', 'neuroinflammation')]",30654069,2019,Vicente Felipo,J Hetapol.
64,train,"Dopamine, glutamic acid and epinephrine significantly induced settlement in the coral larvae.","[('Dopamine, glutamic and epinephrine', 'induced', 'settlement')]","[('', '', '')]",30783133,2019,Peter J Schupp,Sci Rep.
65,train,The high-performance liquid chromatography (HPLC) profile of LCOs isolated following treatment with jasmonates or genistein showed that both JA and MeJA effectively induced nod genes and caused production of LCOs from bacterial cultures.,"[('JA and MeJA ', 'induced', 'nod genes ')]","[('JA and MeJA', 'induced', 'genes')]",17107814,2006,D L Smith,Plant Physiol Bichem.
66,test,"Maternal high-fructose intake induces multigenerational activation of renin-angiotensin-aldosterone system, and the results of this study implicate that it epigenetically induces cardiometabolic syndrome in multiple generations of offspring.","[('high-fructose intake', 'induces', 'activation')]","[('intake', 'induces', 'activation')]",31327271,2019,InKyeom Kim,Hypertension.
67,train,"P450IIE1, an acetone-inducible form, was induced by methyl n-alkyl ketones or n-alkylbenzenes.","[('P450IIE1', 'was induced by', ' methyl n-alkyl ketones or n-alkylbenzenes')]","[('P450IIE1', 'was induced by', 'ketones or n-alkylbenzenes')]",1768271,1991,Y Funae,Biochem Pharmacol.
68,train,"In conclusion, BCG-vaccination induces NTM cross-reactive immunity, and has the potential for use as a vaccine or immunotherapy to prevent and/or treat pulmonary NTM disease.","[('BCG-vaccination', 'induces', 'NTM cross-reactive immunity')]","[('BCG-vaccination', 'induces', 'NTM')]",30837992,2019,Daniel F Hoft,Front Immunol.
69,train,"Together, these findings identify the mechanisms by which MAG induces CGNs apoptotic activity, a crucial event that facilitates cerebellar layer refinement during development.","[('MAG', 'induces', 'CGNs apoptotic activity')]","[('MAG', 'induces', 'CGNs')]",31570696,2019,Lilian Kisiswa,Cell Death Dis.
70,train," DRAM-mediated mitophagy is a primary apoptotic inducer in mild hepatosteatosis, whereas p53-induced BAX expression mainly induces apoptosis in severe hepatosteatosis.","[('BAX expression', 'induces', 'apoptosis')]","[('BAX', 'induces', 'apoptosis')]",23875779,2013,Ning Li,Liver Int.
71,test,One type of clone that can be induced by MGI to form Fc and C3 receptors and differentiate to mature macrophages and granulocytes (MGI+D+) was also induced by MGI to synthesize and secrete lysozyme.,"[('clone/ type', 'be induced by', 'MGI')]","[('type', 'be induced by', 'MGI')]",1017012,1976,L Sachs,Cell.
72,train,"Only spermine, which is reported as an endogenous inducer for acidic PR genes in tobacco mosaic virus-infected tobacco leaves, could induce tpoxN1 gene expression.","[('spermine', 'induce', 'tpoxN1')]","[('', '', '')]",10795310,2000,Y Ohashi,Plant Cell Physiol.
73,train,Infection of necrotizing virus also induced tpoxN1 gene.,"[('Inflection', 'induced', 'tpoxN1 gene')]","[('Infection', 'induced', 'tpoxN1')]",10795310,2000,Y Ohashi,Plant Cell Physiol.
74,train,"Studies on how benzothiadiazole induces disease resistance in rice have identified WRKY45, a key transcription factor in the branched SA pathway, and OsNPR1/NH1.","[('benzothiadiazole', 'induces', 'disease resistance')]","[('', '', '')]",25431577,2014,Hiroshi Takatsuji,Front Plant Sci.
75,train,"Chemical defense inducers, such as benzothiadiazole and probenazole, act on the SA pathway and induce strong resistance to various pathogens without major fitness costs, owing to their 'priming effect.'","[('benzothiadiazole and probenazole', 'induce', 'resistance')]","[('', '', '')]",25431577,2014,Hiroshi Takatsuji,Front Plant Sci.
76,test,Dexamethasone concentrations over 0.1 microM induced cell death that reached about 20% of the death induced by glutamate.,"[('Dexamethasone concentrations', 'induced', 'cell death')]","[('', '', '')]",16403471,2006,Ragnhild E Paulsen,Brain Res.
77,train,Both glutamate and dexamethasone induced toxicity with translocation of the apoptosis inducer NGFI-B to the mitochondria seen after 30 min-2 h concomitant with activation of apoptosis inducing factor (AIF) and caspase-3.,"[('glutamate and dexamethasone', 'induced', 'toxicity')]","[('glutamate and dexamethasone', 'induced', 'toxicity')]",16403471,2006,Ragnhild E Paulsen,Brain Res.
78,train,n-Alkylbenzenes induced aminopyrine and 7-ethoxycoumarin metabolic activities.,"[('n-Alkylbenzenes ', 'induced', 'aminopyrine and 7-ethoxycoumarin metabolic activities')]","[('n-Alkylbenzenes', 'induced', 'aminopyrine and activities')]",1768271,1991,Y Funae,Biochem Pharmacol.
79,train,Astaxanthin is an antioxidant carotenoid that prevents oxidative stress-induced cell injury.,"[('carotenoid', 'prevents', 'cell injury')]","[('Astaxanthin', 'prevents', 'cell')]",27198461,2016,Ya-Min Guo,Technol Health Care.
80,train,Here we show that Drosophila histone H1 (dH1) prevents genome instability as indicated by the increased γH2Av (H2AvS137P) content and the high incidence of DNA breaks and sister-chromatid exchanges observed in dH1-depleted cells.,"[('Drosophila histone H1', 'prevents', 'genome instability')]","[('', '', '')]",28819201,2017,Fernando Azorin,Nat Commun.
81,test,"Altogether, our results suggest that histone H1 prevents R-loops-induced DNA damage in heterochromatin and unveil its essential contribution to maintenance of genome stability.","[('histone H1', 'prevents', 'DNA damage')]","[('histone', 'prevents', 'DNA')]",28819201,2017,Fernando Azorin,Nat Commun.
82,train,Treatment with metallothionein prevents demyelination and axonal damage and increases oligodendrocyte precursors and tissue repair during experimental autoimmune encephalomyelitis.,"[('Treatment', 'prevents', 'demyelination and axonal damage')]","[('Treatment', 'prevents', 'demyelination and damage')]",30883917,2019,No authors Listed,J Neurosci Res.
83,train,A recent in vitro study indicated that prominin-2 prevents the formation of caveolae by sequestering membrane cholesterol.,"[('prominin-2', 'prevents', 'formation')]","[('', '', '')]",29113580,2018,Christopher R Murphy,Reprod Sci.
84,train,"Moreover, JuA suppresses SD-induced enhancement of mEPSCs and prevents memory impairment in APP/PS1 mice.","[('JuA', 'prevents', 'memory impairment')]","[('JuA', 'prevents', 'memory')]",30872728,2019,Cheng Long,Sci Rep.
85,train,PFMG1 promotes osteoblast differentiation and prevents osteoporotic bone loss.,"[('PFMG1', 'prevents', 'bone loss')]","[('PFMG1', 'prevents', 'bone')]",29021211,2018,Zhao Wang,FASEB J.
86,test,"Statins prevent cardiovascular diseases, yet their use is limited by the muscle disturbances they cause.","[('Statins', 'prevent', 'diseases')]","[('', '', '')]",31533334,2019,Enrico Adriano,Biomolecules.
87,train,"Clinically, creatine administration prevents statin myopathy in statin-intolerant patients.","[('creatine administration', 'prevents', 'statin myopathy')]","[('', '', '')]",31533334,2019,Enrico Adriano,Biomolecules.
88,train,"Thus our findings revealed that lnc-RAB11B-AS1 prevents osteosarcoma development and progression via inhibiting RAB11B expression, indicating lnc-RAB11B-AS1 as a potential therapeutic target for osteosarcoma.","[('lnc-RAB11B-AS1', 'prevents', 'osteosarcoma development and progression')]","[('', '', '')]",29928484,2018,Qingchu Li,Oncotarget.
89,train,"We found that EE retained spatial and visual memory at high altitude, and prevented neuronal apoptosis.","[('EE', 'prevented', 'apoptosis')]","[('EE', 'prevented', 'apoptosis')]",30687018,2019,Edith M Schneider Gasser,Front Cell Neurosci.
90,train,"Finerenone prevented left atrial dilatation (6.4 ± 1.5 vs. 4.7 ± 1.4 mg, p = 0.004) and left atrial fibrosis (17.8 ± 3.1 vs. 12.8 ± 3.1%, p = 0.046) compared to vehicle-treated RacET mice.","[('Finerenone', 'prevented', 'left atrial dilatation and left atrial fibrosis')]","[('Finerenone', 'prevented', 'dilatation')]",31283930,2019,Ulrich Laufs,Biochem Pharmacol.
91,test,"In neonatal rat cardiac fibroblasts, finerenone prevented aldosterone-induced nuclear MR translocation.","[('finerenone', 'prevented', 'nuclear MR translocation')]","[('', '', '')]",31283930,2019,Ulrich Laufs,Biochem Pharmacol.
92,train,"Indeed, we find that this de novo mutation prevents Rac1 function and results in a selective reduction in synaptic AMPA receptor function.","[('de novo mutation', 'prevents', 'Rac1 function')]","[('de', 'prevents', 'Rac1 and results')]",30042656,2018,Bruce E Herring,Front Mol Neurosic.
93,train,EM revealed that AZT treatment did not affect coronary endothelial intercellular junctions whereas it caused an enlargement of fascia adherens of the intercalated discs that was prevented by vitamin C.,"[('discs', 'was prevented by', 'vitamin C')]","[('', '', '')]",21784038,2009,Sergio Bova,Environ Toxicol Pharmacol.
94,train,"NSAIDs depolarized mitochondria and prevented mitochondrial Ca(2+) uptake, suggesting that they favor the Ca(2+)-dependent inactivation of CRAC/Orai channels.","[('NSAIDs', 'prevented', 'Ca(2+) uptake')]","[('', '', '')]",21402693,2011,Carlos Villalobos,J Biol Chem.
95,train,"Taken together, our results indicate that NSAIDs inhibit VSMC proliferation by facilitating the Ca(2+)-dependent inactivation of CRAC/Orai channels which normally is prevented by mitochondria clearing of entering Ca(2+).","[('NSAIDs', 'inhibit', 'VSMC proliferation'), ('CRAC/Orai channels', 'is prevented by', 'mitochondria clearing')]","[('NSAIDs', 'inhibit', 'VSMC'), ('NSAIDs', 'is prevented by', 'mitochondria')]",21402693,2011,Carlos Villalobos,J Biol Chem.
96,test,Polyhydroxylated C60 (0.1 mM) significantly prevented hydrogen peroxide- or cumene hydroperoxide-elicited reduction of the population spikes and also prevented the effects of hydrogen peroxide and cumene hydroperoxide on paired-pulse facilitation in the hippocampal slice.,"[('C60', 'prevented', 'hydrogen peroxide- or cumene hydroperoxide-elicited reduction ')]","[('', '', '')]",9232545,1997,L Y Chiang,J Pharm Pharmacol.
97,train,Our results indicate that ICA prevents OVX-induced bone loss possibly by strengthening the osteogenic differentiation of BMSCs via increasing autophagic activity.,"[('ICA', 'prevents', 'bone loss')]","[('ICA', 'prevents', 'OVX-induced')]",30887562,2019,Lin Cai,J Cell Biochem.
98,train,Didymin also prevented the release of various inflammatory cytokines and chemokines in HG-treated HUVECs.,"[('Didymin', 'prevented', 'release')]","[('Didymin', 'prevented', 'release')]",29548811,2018,Kota V Ramana,Biochem Pharmacol.
99,train,"In conclusion, our results demonstrate that didymin with its anti-oxidative and anti-inflammatory actions prevents hyperglycemia-induced endothelial dysfunction and death.","[('didymin', 'prevents', 'dysfunction and death')]","[('didymin', 'prevents', 'dysfunction and death')]",29548811,2018,Kota V Ramana,Biochem Pharmacol.
